B_odds,R_odds,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,win_streak_dif,loss_dif,reach_dif,age_dif,r_dec_odds,b_dec_odds,b_sub_odds,r_ko_odds,b_ko_odds
250,-250,1,2,-16,9,3,5,360,850,2200,108,450
410,-500,1,7,-13,9,-5,14,110,550,2200,310,2500
270,-298,2,0,1,-3,3,-1,120,750,2500,500,600
-260,230,1,3,8,-6,-3,-6,650,188,500,650,255
-240,205,0,2,1,-2,8,-9,600,300,350,440,250
430,-535,3,5,-14,6,-2,8,-138,650,2400,650,3000
-155,150,0,0,-5,-2,-7,-1,650,800,1600,380,110
-395,360,0,3,7,-12,10,-13,550,120,220,2500,900
200,-220,0,1,0,2,-5,-4,230,525,1400,600,550
475,-575,0,4,-6,5,-10,2,500,1600,1600,150,1100
285,-350,0,2,-6,6,17,0,250,800,2400,120,600
-319,275,0,1,12,-3,-2,-7,600,285,320,700,230
220,-250,1,9,-11,1,3,4,180,480,2500,500,550
