B_odds,R_odds,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,win_streak_dif,loss_dif,reach_dif,age_dif,r_dec_odds,b_dec_odds,b_sub_odds,r_ko_odds,b_ko_odds
-238,215,2,7,0,4,9,8,420,105,850,800,500
200,-225,0,1,-2,0,8,3,260,550,2500,220,575
120,-125,3,2,1,3,5,5,200,240,800,440,1200
180,-200,1,5,0,-5,10,4,125,250,2000,500,1150
135,-135,0,1,-8,2,0,2,350,470,2500,750,275
525,-550,0,3,-15,2,17,-2,250,1700,1300,163,1700
-170,160,2,6,-1,2,0,2,220,110,1200,2000,750
170,-192,1,2,-4,2,-4,-1,165,460,1050,450,600
-115,105,0,5,0,-2,-6,5,550,295,320,460,1200
-225,200,0,0,1,-2,5,-6,900,600,300,380,185
-200,185,2,4,1,-9,3,-2,450,400,150,480,850
-105,100,0,0,-5,2,-15,-1,5000,1500,410,120,220
-120,105,1,1,-12,-1,0,5,800,850,2000,200,125
